DrawNo,DrawDate,1stPrizeNo
068894,19940220,030866
068994,19940223,840540
069094,19940224,897542
069194,19940227,142560
069294,19940302,951359
069394,19940303,606728
069494,19940306,590231
069594,19940309,259305
069694,19940310,529936
069794,19940313,981297
069894,19940316,667088
069994,19940317,457356
070094,19940320,037938
070194,19940323,888427
070294,19940324,864561
070394,19940327,799143
070494,19940330,899975
070594,19940331,332563
070694,19940403,649450
070794,19940406,978376
070894,19940407,801023
070994,19940410,759995
071094,19940413,327579
071194,19940414,006304
071294,19940417,225416
071394,19940420,839013
071494,19940421,108535
071594,19940424,976297
071694,19940427,934546
071794,19940428,299153
071894,19940501,109864
071994,19940504,274473
072094,19940505,453665
072194,19940508,481682
072294,19940511,645259
072394,19940512,789399
072494,19940515,055671
072594,19940518,069034
072694,19940519,080982
072794,19940522,768666
072894,19940525,358714
072994,19940526,384498
073094,19940529,191713
073194,19940601,325658
073294,19940602,701621
073394,19940605,860722
073494,19940608,590832
073594,19940609,727803
073694,19940612,401710
073794,19940615,573085
073894,19940616,275593
073994,19940619,749516
074094,19940622,632626
074194,19940623,855592
074294,19940626,900024
074394,19940629,169228
074494,19940630,234619
074594,19940703,745283
074694,19940706,430158
074794,19940707,224291
074894,19940710,517229
074994,19940713,337099
075094,19940714,107192
075194,19940717,175717
075294,19940720,614100
075394,19940721,488304
075494,19940724,571888
075594,19940727,427736
075694,19940728,088060
075794,19940731,819009
075894,19940803,928915
075994,19940804,704043
076094,19940807,806445
076194,19940810,388916
076294,19940811,562242
076394,19940814,111802
076494,19940817,005101
076594,19940818,421058
076694,19940821,069509
076794,19940824,135880
076894,19940825,674034
076994,19940828,734401
077094,19940831,020618
077194,19940901,545026
077294,19940904,341113
077394,19940907,817072
077494,19940908,728330
077594,19940911,584300
077694,19940914,570823
077794,19940915,117887
077894,19940918,193315
077994,19940921,144432
078094,19940922,085590
078194,19940925,732055
078294,19940928,864715
078394,19940929,043185
078494,19941001,473132
078594,19941002,965096
078694,19941005,340068
078794,19941008,503169
078894,19941009,050229
078994,19941012,007724
079094,19941015,043864
079194,19941016,291647
079294,19941019,423948
079394,19941022,349748
079494,19941023,496182
079594,19941026,951850
079694,19941029,543923
079794,19941030,140670
079894,19941102,599375
079994,19941105,015220
080094,19941106,381419
080194,19941109,594991
080294,19941112,704611
080394,19941113,676749
080494,19941116,594671
080594,19941119,412691
080694,19941120,946301
080794,19941123,448926
080894,19941126,250062
080994,19941127,717078
081094,19941130,399092
081194,19941203,765318
081294,19941204,037192
081394,19941207,493102
081494,19941210,104407
081594,19941211,832497
081694,19941214,959311
081794,19941217,601253
081894,19941218,722588
081994,19941221,735865
082094,19941224,626828
082194,19941225,872674
082294,19941228,070230
082394,19941231,294612
082495,19950101,781998
082595,19950104,797518
082695,19950107,838724
082795,19950108,983672
082895,19950111,054092
082995,19950114,597965
083095,19950115,800440
083195,19950118,217143
083295,19950121,834671
083395,19950122,802017
083495,19950125,066459
083595,19950128,048762
083695,19950129,246578
083795,19950201,648084
083895,19950204,461301
083995,19950205,004595
084095,19950208,962831
084195,19950211,877016
084295,19950212,426253
084395,19950215,614987
084495,19950218,692984
084595,19950219,834841
084695,19950222,572122
084795,19950225,896874
084895,19950226,264843
084995,19950301,412815
085095,19950304,154115
085195,19950305,179117
085295,19950308,566799
085395,19950311,199428
085495,19950312,936194
085595,19950315,922049
085695,19950318,951769
085795,19950319,036652
085895,19950322,618336
085995,19950325,965160
086095,19950326,757633
086195,19950329,732433
086295,19950401,281920
086395,19950402,076973
086495,19950405,943242
086595,19950408,099371
086695,19950409,619280
086795,19950412,743753
086895,19950415,852706
086995,19950416,235649
087095,19950419,812609
087195,19950422,077207
087295,19950423,524380
087395,19950426,408515
087495,19950429,815220
087595,19950430,196545
087695,19950503,979560
087795,19950506,137074
087895,19950507,402079
087995,19950510,369116
088095,19950513,827489
088195,19950514,868587
088295,19950517,397218
088395,19950520,364367
088495,19950521,440792
088595,19950524,571043
088695,19950527,665352
088795,19950528,514855
088895,19950531,762294
088995,19950603,619618
089095,19950604,657326
089195,19950607,575553
089295,19950610,124342
089395,19950611,013830
089495,19950614,359487
089595,19950617,542241
089695,19950618,448031
089795,19950621,180029
089895,19950624,112893
089995,19950625,795531
090095,19950628,156869
090195,19950701,718931
090295,19950702,302907
090395,19950705,264357
090495,19950708,134016
090595,19950709,698369
090695,19950712,356088
090795,19950715,432141
090895,19950716,448006
090995,19950719,400010
091095,19950722,155161
091195,19950723,472624
091295,19950726,034280
091395,19950729,399712
091495,19950730,164156
091595,19950802,917087
091695,19950805,147654
091795,19950806,202293
091895,19950809,861344
091995,19950812,891673
092095,19950813,975365
092195,19950816,809614
092295,19950819,687779
092395,19950820,157866
092495,19950823,290630
092595,19950826,280944
092695,19950827,207208
092795,19950830,131934
092895,19950902,447316
092995,19950903,469029
093095,19950906,473584
093195,19950909,893579
093295,19950910,698293
093395,19950913,924431
093495,19950916,327395
093595,19950917,698097
093695,19950920,923392
093795,19950923,300125
093895,19950924,815364
093995,19950927,350590
094095,19950930,702369
094195,19951001,826425
094295,19951004,505022
094395,19951007,242727
094495,19951008,358010
094595,19951011,697506
094695,19951014,428887
094795,19951015,140266
094895,19951018,755419
094995,19951021,580736
095095,19951022,143129
095195,19951025,059847
095295,19951028,786203
095395,19951029,679824
095495,19951101,738555
095595,19951104,184001
095695,19951105,941030
095795,19951108,983328
095895,19951111,443323
095995,19951112,649695
096095,19951115,918841
096195,19951118,171102
096295,19951119,619509
096395,19951122,746989
096495,19951125,336186
096595,19951126,832387
096695,19951129,819762
096795,19951202,439990
096895,19951203,680797
096995,19951206,172060
097095,19951209,682343
097195,19951210,289643
097295,19951213,417324
097395,19951216,309916
097495,19951217,248694
097595,19951220,431380
097695,19951223,630032
097795,19951224,084362
097895,19951227,031054
097995,19951230,565874
098095,19951231,392127
098196,19960103,381837
098296,19960106,795548
098396,19960107,993939
098496,19960110,786692
098596,19960113,024138
098696,19960114,571799
098796,19960117,406840
098896,19960120,267545
098996,19960121,512142
099096,19960124,070390
099196,19960127,877110
099296,19960128,636233
099396,19960131,593538
099496,19960203,308889
099596,19960204,960720
099696,19960207,464206
099796,19960210,119312
099896,19960211,010828
099996,19960214,352488
100096,19960217,265601
100196,19960218,808203
100296,19960221,427543
100396,19960224,889457
100496,19960225,226880
100596,19960228,733295
100696,19960302,335368
100796,19960303,010236
100896,19960306,026125
100996,19960309,434336
101096,19960310,939696
101196,19960313,679089
101296,19960316,866291
101396,19960317,963935
101496,19960320,538172
101596,19960323,053645
101696,19960324,056663
101796,19960327,808643
101896,19960330,383703
101996,19960331,147503
102096,19960403,388857
102196,19960406,507496
102296,19960407,943591
102396,19960410,452520
102496,19960413,892562
102596,19960414,716700
102696,19960417,536309
102796,19960420,732937
102896,19960421,994710
102996,19960424,774156
103096,19960427,265962
103196,19960428,486305
103296,19960501,844339
103396,19960504,725386
103496,19960505,331521
103596,19960508,993152
103696,19960511,045544
103796,19960512,603292
103896,19960515,453864
103996,19960518,747060
104096,19960519,901832
104196,19960522,910027
104296,19960525,791456
104396,19960526,277095
104496,19960529,094139
104596,19960601,277238
104696,19960602,429104
104796,19960605,373526
104896,19960608,613626
104996,19960609,021551
105096,19960612,162520
105196,19960615,217849
105296,19960616,087633
105396,19960619,518343
105496,19960622,012278
105596,19960623,783998
105696,19960626,278533
105796,19960629,366525
105896,19960630,612493
105996,19960703,555839
106096,19960706,259573
106196,19960707,710680
106296,19960710,521031
106396,19960713,189425
106496,19960714,145335
106596,19960717,634862
106696,19960720,859713
106796,19960721,015159
106896,19960724,698690
106996,19960727,764190
107096,19960728,348586
107196,19960731,468280
107296,19960803,241520
107396,19960804,390215
107496,19960807,520300
107596,19960810,266830
107696,19960811,532515
107796,19960814,797642
107896,19960817,735083
107996,19960818,507155
108096,19960821,036106
108196,19960824,801905
108296,19960825,965917
108396,19960828,061150
108496,19960831,036656
108596,19960901,120814
108696,19960904,942184
108796,19960907,582512
108896,19960908,631418
108996,19960911,777630
109096,19960914,573977
109196,19960915,120821
109296,19960918,465803
109396,19960921,807463
109496,19960922,308121
109596,19960925,096143
109696,19960928,800696
109796,19960929,106845
109896,19961002,762170
109996,19961005,305348
110096,19961006,694357
110196,19961009,613827
110296,19961012,231416
110396,19961013,516934
110496,19961016,051563
110596,19961019,854937
110696,19961020,485793
110796,19961023,905551
110896,19961026,356603
110996,19961027,047830
111096,19961030,557997
111196,19961102,716731
111296,19961103,699857
111396,19961106,552782
111496,19961109,955838
111596,19961110,041345
111696,19961113,333830
111796,19961116,450598
111896,19961117,193056
111996,19961120,453140
112096,19961123,795201
112196,19961124,740763
112296,19961127,270316
112396,19961130,802207
112496,19961201,191605
112596,19961204,361475
112696,19961207,921365
112796,19961208,710212
112896,19961211,477016
112996,19961214,501081
113096,19961215,594202
113196,19961218,465469
113296,19961221,427411
113396,19961222,316722
113496,19961225,690635
113596,19961228,073821
113696,19961229,634801
113797,19970101,985058
113897,19970104,567364
113997,19970105,561619
114097,19970108,183061
114197,19970111,591776
114297,19970112,381885
114397,19970115,273565
114497,19970118,293654
114597,19970119,405051
114697,19970122,866083
114797,19970125,177090
114897,19970126,098468
114997,19970129,218359
115097,19970201,214257
115197,19970202,766774
115297,19970205,611057
115397,19970208,755151
115497,19970209,749487
115597,19970212,640095
115697,19970215,428944
115797,19970216,796664
115897,19970219,985241
115997,19970222,779946
116097,19970223,807478
116197,19970226,661093
116297,19970301,445085
116397,19970302,858357
116497,19970305,722844
116597,19970308,316923
116697,19970309,823535
116797,19970312,630453
116897,19970315,862578
116997,19970316,903277
117097,19970319,900433
117197,19970322,558532
117297,19970323,178316
117397,19970326,570450
117497,19970329,267721
117597,19970330,216648
117697,19970402,482647
117797,19970405,859944
117897,19970406,872375
117997,19970409,451489
118097,19970412,730105
118197,19970413,563646
118297,19970416,460340
118397,19970419,831506
118497,19970420,317755
118597,19970423,340384
118697,19970426,266020
118797,19970427,820346
118897,19970430,394532
118997,19970503,219970
119097,19970504,020115
119197,19970507,399616
119297,19970510,431856
119397,19970511,971031
119497,19970514,275080
119597,19970517,100100
119697,19970518,688038
119797,19970521,968439
119897,19970524,199949
119997,19970525,011613
120097,19970528,191208
120197,19970531,916601
120297,19970601,668291
120397,19970604,177404
120497,19970607,636276
120597,19970608,396494
120697,19970611,285085
120797,19970614,928547
120897,19970615,973370
120997,19970618,938047
121097,19970621,073370
121197,19970622,131289
121297,19970625,133356
121397,19970628,290782
121497,19970629,580085
121597,19970702,968733
121697,19970705,390545
121797,19970706,035324
121897,19970709,557991
121997,19970712,727483
122097,19970713,357871
122197,19970716,823511
122297,19970719,984186
122397,19970720,143474
122497,19970723,911519
122597,19970726,349361
122697,19970727,038396
122797,19970730,194213
122897,19970802,777726
122997,19970803,071511
123097,19970806,390310
123197,19970809,187263
123297,19970810,255928
123397,19970813,917607
123497,19970816,590185
123597,19970817,811941
123697,19970820,786449
123797,19970823,286112
123897,19970824,660602
123997,19970827,772581
124097,19970830,186766
124197,19970831,352355
124297,19970903,536617
124397,19970906,661297
124497,19970907,016439
124597,19970910,511863
124697,19970913,389967
124797,19970914,921186
124897,19970917,441960
124997,19970920,791135
125097,19970921,748650
125197,19970924,495259
125297,19970927,114527
125397,19970928,452974
125497,19971001,736003
125597,19971004,200378
125697,19971005,724663
125797,19971008,580367
125897,19971011,716018
125997,19971012,070049
126097,19971015,833601
126197,19971018,272476
126297,19971019,984196
126397,19971022,483189
126497,19971025,022447
126597,19971026,273499
126697,19971029,653295
126797,19971101,584254
126897,19971102,000560
126997,19971105,586638
127097,19971108,053202
127197,19971109,783892
127297,19971112,251794
127397,19971115,557347
127497,19971116,408267
127597,19971119,418891
127697,19971122,336749
127797,19971123,462696
127897,19971126,467125
127997,19971129,795479
128097,19971130,570588
128197,19971203,976738
128297,19971206,061777
128397,19971207,176753
128497,19971210,958397
128597,19971213,394388
128697,19971214,741666
128797,19971217,905384
128897,19971220,836630
128997,19971221,748123
129097,19971224,135044
129197,19971227,402632
129297,19971228,924779
129397,19971231,513578
129498,19980103,902242
129598,19980104,545795
129698,19980107,303733
129798,19980110,744213
129898,19980111,845258
129998,19980114,711061
130098,19980117,917639
130198,19980118,033242
130298,19980121,369288
130398,19980124,320407
130498,19980125,894367
130598,19980128,860453
130698,19980131,503241
130798,19980201,482037
130898,19980204,403775
130998,19980207,683230
131098,19980208,484133
131198,19980211,304777
131298,19980214,799198
131398,19980215,557034
131498,19980218,664836
131598,19980221,608441
131698,19980222,620269
131798,19980225,796444
131898,19980228,287391
131998,19980301,608874
132098,19980304,349432
132198,19980307,295934
132298,19980308,250481
132398,19980311,477529
132498,19980314,584988
132598,19980315,861810
132698,19980318,568221
132798,19980321,074911
132898,19980322,544856
132998,19980325,248612
133098,19980328,706997
133198,19980329,158494
133298,19980401,124943
133398,19980404,506250
133498,19980405,295935
133598,19980408,722055
133698,19980411,370526
133798,19980412,407068
133898,19980415,743519
133998,19980418,046622
134098,19980419,870536
134198,19980422,205182
134298,19980425,183857
134398,19980426,424976
134498,19980429,910157
134598,19980502,341721
134698,19980503,545144
134798,19980506,083260
134898,19980509,568278
134998,19980510,256809
135098,19980513,633967
135198,19980516,412177
135298,19980517,953793
135398,19980520,303526
135498,19980523,011385
135598,19980524,372858
135698,19980527,095607
135798,19980530,195629
135898,19980531,491853
135998,19980603,511134
136098,19980606,621961
136198,19980607,557906
136298,19980610,130770
136398,19980613,174554
136498,19980614,388972
136598,19980617,206396
136698,19980620,896101
136798,19980621,846622
136898,19980624,527353
136998,19980627,185070
137098,19980628,513653
137198,19980701,814646
137298,19980704,193267
137398,19980705,719945
137498,19980708,974403
137598,19980711,856564
137698,19980712,004764
137798,19980715,590004
137898,19980718,966087
137998,19980719,624150
138098,19980722,438583
138198,19980725,624058
138298,19980726,278013
138398,19980729,902182
138498,19980801,154208
138598,19980802,700421
138698,19980805,053792
138798,19980808,990815
138898,19980809,531999
138998,19980812,556185
139098,19980815,677996
139198,19980816,771916
139298,19980819,865782
139398,19980822,798095
139498,19980823,984007
139598,19980826,611016
139698,19980829,552750
139798,19980830,074979
139898,19980902,744412
139998,19980905,856995
140098,19980906,159667
140198,19980909,619510
140298,19980912,999605
140398,19980913,419792
140498,19980916,578004
140598,19980919,646604
140698,19980920,816042
140798,19980923,045974
140898,19980926,185175
140998,19980927,109113
141098,19980930,971655
141198,19981001,513232
141298,19981003,773977
141398,19981004,266153
141498,19981007,341862
141598,19981010,023546
141698,19981011,544121
141798,19981014,008397
141898,19981017,720812
141998,19981018,246803
142098,19981021,537810
142198,19981024,165951
142298,19981025,938371
142398,19981028,948310
142498,19981031,367247
142598,19981101,642017
142698,19981104,216435
142798,19981107,300204
142898,19981108,335201
142998,19981111,447005
143098,19981112,937415
143198,19981114,564829
143298,19981115,278757
143398,19981118,541061
143498,19981121,167191
143598,19981122,014406
143698,19981125,982646
143798,19981128,230516
143898,19981129,330075
143998,19981202,777368
144098,19981205,913550
144198,19981206,211874
144298,19981209,326894
144398,19981212,617305
144498,19981213,558169
144598,19981216,093478
144698,19981219,288459
144798,19981220,729119
144898,19981223,280782
144998,19981226,854706
145098,19981227,215807
145198,19981230,643961
145299,19990102,277340
145399,19990103,207845
145499,19990106,605535
145599,19990109,794047
145699,19990110,901297
145799,19990113,944262
145899,19990116,186605
145999,19990117,193424
146099,19990120,069281
146199,19990123,835677
146299,19990124,530342
146399,19990127,557518
146499,19990130,425881
146599,19990131,456462
146699,19990203,897038
146799,19990206,512797
146899,19990207,089361
146999,19990210,072487
147099,19990213,796393
147199,19990214,838976
147299,19990217,844725
147399,19990220,020103
147499,19990221,223811
147599,19990224,433974
147699,19990227,321218
147799,19990228,311020
147899,19990302,372969
147999,19990303,604080
148099,19990306,623421
148199,19990307,597294
148399,19990310,445496
148299,19990313,911919
148499,19990314,473799
148599,19990317,940731
148699,19990320,709954
148799,19990321,193843
148899,19990324,697371
148999,19990327,388570
149099,19990328,200994
149199,19990331,638808
149299,19990403,280699
149399,19990404,210380
149499,19990407,085730
149599,19990410,564908
149699,19990411,010295
149799,19990414,186941
149899,19990417,124727
149999,19990418,579025
150099,19990421,180772
150199,19990424,028241
150299,19990425,525556
150399,19990427,248286
150499,19990428,797951
150599,19990501,202406
150699,19990502,824661
150799,19990505,442136
150899,19990508,851008
150999,19990509,968510
151099,19990511,564656
151199,19990512,674443
151299,19990515,449341
151399,19990516,068328
151499,19990519,735651
151599,19990522,775877
151699,19990523,771437
151799,19990526,640933
151899,19990529,737800
151999,19990530,056094
152099,19990602,747402
152199,19990605,859582
152299,19990606,873194
152399,19990609,545072
152499,19990612,775525
152599,19990613,599706
152699,19990615,593917
152799,19990616,533183
152899,19990619,173449
152999,19990620,782153
153099,19990623,171389
153199,19990626,551122
153299,19990627,967387
153399,19990630,511487
153499,19990703,842445
153599,19990704,683897
153699,19990706,744613
153799,19990707,639502
153899,19990710,186977
153999,19990711,093385
154099,19990714,464763
154199,19990717,717551
154299,19990718,612053
154399,19990721,673204
154499,19990724,366776
154599,19990725,517247
154699,19990728,975964
154799,19990731,114080
154899,19990801,781259
154999,19990803,117051
155099,19990804,498726
155199,19990807,815373
155299,19990808,414351
155399,19990811,824883
155499,19990814,610634
155599,19990815,982301
155699,19990818,117862
155799,19990821,718104
155899,19990822,614019
155999,19990825,588945
156099,19990828,369097
156199,19990829,661285
156299,19990901,281779
156399,19990904,474428
156499,19990905,009134
156599,19990908,701158
156699,19990911,172240
156799,19990912,864033
156899,19990915,425349
156999,19990918,688775
157099,19990919,225827
157199,19990921,477735
157299,19990922,381991
157399,19990925,962409
157499,19990926,537352
157599,19990929,118872
157699,19991002,316654
157799,19991003,802985
157899,19991006,184684
157999,19991009,009978
158099,19991010,425475
158199,19991013,430168
158299,19991016,960828
158399,19991017,463817
158499,19991020,225236
158599,19991023,435945
158699,19991024,951161
158799,19991027,857303
158899,19991030,748763
158999,19991031,565882
159099,19991102,697330
159199,19991103,359961
159299,19991106,276465
159399,19991107,340796
159499,19991110,420489
159599,19991113,582213
159699,19991114,714509
159799,19991117,755884
159899,19991120,403524
159999,19991121,712251
160099,19991124,281983
160199,19991127,120449
160299,19991128,015566
160399,19991201,953632
160499,19991204,437175
160599,19991205,358399
160699,19991208,500786
160799,19991211,556667
160899,19991212,086158
160999,19991215,191705
161099,19991218,718606
161199,19991219,695454
161299,19991222,201156
161399,19991225,593917
161499,19991226,411937
161599,19991229,253434
161600,20000101,041025
161700,20000102,770315
161800,20000105,641245
161900,20000108,814656
162000,20000109,851111
162100,20000112,617745
162200,20000115,898711
162300,20000116,238629
162400,20000119,866866
162500,20000122,401148
162600,20000123,641553
162700,20000126,200417
162800,20000129,706483
162900,20000130,383251
163000,20000202,116456
163100,20000205,822960
163200,20000206,043923
163300,20000208,475961
163400,20000209,865679
163500,20000212,757002
163600,20000213,843150
163700,20000216,143285
163800,20000219,367387
163900,20000220,856215
164000,20000223,370418
164100,20000226,927175
164200,20000227,579637
164300,20000301,172561
164400,20000304,930599
164500,20000305,595095
164600,20000307,818348
164700,20000308,350587
164800,20000311,808748
164900,20000312,269613
165000,20000315,203966
165100,20000318,566603
165200,20000319,781904
165300,20000322,077357
165400,20000325,552120
165500,20000326,569067
165600,20000329,309946
165700,20000401,220989
165800,20000402,289501
165900,20000405,340738
166000,20000408,000091
166100,20000409,360628
166200,20000412,321133
166300,20000415,580395
166400,20000416,774866
166500,20000419,201665
166600,20000422,247733
166700,20000423,421490
166800,20000426,985121
166900,20000429,095649
167000,20000430,248973
167100,20000502,205247
167200,20000503,816364
167300,20000506,031666
167400,20000507,197057
167500,20000510,824041
167600,20000513,023408
167700,20000514,118532
167800,20000517,921718
167900,20000520,435599
168000,20000521,301060
168100,20000524,300307
168200,20000527,236272
168300,20000528,686795
168400,20000531,300058
168500,20000603,493896
168600,20000604,173885
168700,20000607,504059
168800,20000610,180405
168900,20000611,449891
169000,20000614,822357
169100,20000617,507491
169200,20000618,123881
169300,20000621,763209
169400,20000624,426955
169500,20000625,832284
169600,20000628,513235
169700,20000701,610061
169800,20000702,545271
169900,20000704,606455
170000,20000705,679796
170100,20000708,122639
170200,20000709,090437
170300,20000712,277964
170400,20000715,729228
170500,20000716,258613
170600,20000719,027791
170700,20000722,226824
170800,20000723,321950
170900,20000726,175847
171000,20000729,200252
171100,20000730,312642
171200,20000802,081656
171300,20000805,459663
171400,20000806,402400
171500,20000809,331712
171600,20000812,361295
171700,20000813,376785
171800,20000816,332852
171900,20000819,625203
172000,20000820,948096
172100,20000823,710158
172200,20000826,137630
172300,20000827,189334
172400,20000829,387530
172500,20000830,790793
172600,20000902,352173
172700,20000903,008016
172800,20000905,860610
172900,20000906,487761
173000,20000909,802204
173100,20000910,350147
173200,20000913,241241
173300,20000916,819866
173400,20000917,815492
173500,20000920,808987
173600,20000923,768240
173700,20000924,825498
173800,20000927,152934
173900,20000930,987900
174000,20001001,627605
174100,20001004,534332
174200,20001007,018217
174300,20001008,845672
174400,20001011,762852
174500,20001014,937587
174600,20001015,253667
174700,20001018,001502
174800,20001021,693840
174900,20001022,807944
175000,20001025,238038
175100,20001028,880409
175200,20001029,892471
175300,20001101,066984
175400,20001104,776832
175500,20001105,407359
175600,20001108,927557
175700,20001111,829304
175800,20001112,578617
175900,20001115,399695
176000,20001118,191290
176100,20001119,525054
176200,20001122,108281
176300,20001125,204489
176400,20001126,697896
176500,20001129,112831
176600,20001202,197935
176700,20001203,545931
176800,20001206,163769
176900,20001209,492493
177000,20001210,852418
177100,20001213,903270
177200,20001216,485800
177300,20001217,843773
177400,20001220,227612
177500,20001223,762970
177600,20001224,068166
177700,20001227,825707
177800,20001230,434584
177900,20001231,906711
178001,20010103,962106
178101,20010106,307476
178201,20010107,110385
178301,20010110,145866
178401,20010113,529526
178501,20010114,028652
178601,20010117,874349
178701,20010120,629265
178801,20010121,334428
178901,20010124,636038
179001,20010127,795341
179101,20010128,439290
179201,20010130,315498
179301,20010131,621854
179401,20010203,295836
179501,20010204,130890
179601,20010207,621719
179701,20010210,434766
179801,20010211,528826
179901,20010214,745155
180001,20010217,064892
180101,20010218,359424
